2018-10-09T19:33:43.478-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: drop { drop: "COLLECTION1" } numYields:0 reslen:78 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 0ms
2018-10-09T19:33:43.479-0300 D STORAGE  [conn2] create collection DB1.COLLECTION1 {}
2018-10-09T19:33:43.479-0300 D STORAGE  [conn2] stored meta data for DB1.COLLECTION1 @ RecordId(7)
2018-10-09T19:33:43.486-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.486-0300 D STORAGE  [conn2] create uri: table:index-12--727222107833765461 config: type=file,internal_page_max=16k,leaf_page_max=16k,checksum=on,prefix_compression=true,block_compressor=,,,,key_format=u,value_format=u,app_metadata=(formatVersion=8,infoObj={ "v" : 2, "key" : { "_id" : 1 }, "name" : "_id_", "ns" : "DB1.COLLECTION1" }),
2018-10-09T19:33:43.491-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.492-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: [ { _id: 0, cmp1: 0, cmp2: 0, data: "aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa" } ] } ninserted:1 keysInserted:1 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 3, w: 3 } }, Database: { acquireCount: { w: 2, W: 1 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_query 12ms
2018-10-09T19:33:43.492-0300 I COMMAND  [conn2] CMD: drop DB1.COLLECTION1
2018-10-09T19:33:43.492-0300 D STORAGE  [conn2] dropCollection: DB1.COLLECTION1
2018-10-09T19:33:43.492-0300 D INDEX    [conn2] 	 dropAllIndexes dropping: { v: 2, key: { _id: 1 }, name: "_id_", ns: "DB1.COLLECTION1" }
2018-10-09T19:33:43.492-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.492-0300 D STORAGE  [conn2] 	 dropIndexes done
2018-10-09T19:33:43.492-0300 D STORAGE  [conn2] deleting metadata for DB1.COLLECTION1 @ RecordId(7)
2018-10-09T19:33:43.492-0300 D STORAGE  [conn2] WT drop of  table:index-12--727222107833765461 res 16
2018-10-09T19:33:43.492-0300 D STORAGE  [conn2] ~WiredTigerRecordStore for: DB1.COLLECTION1
2018-10-09T19:33:43.492-0300 D STORAGE  [conn2] WT drop of  table:collection-11--727222107833765461 res 16
2018-10-09T19:33:43.492-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: drop { drop: "COLLECTION1" } numYields:0 reslen:78 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 0ms
2018-10-09T19:33:43.492-0300 D STORAGE  [conn2] create collection DB1.COLLECTION1 {}
2018-10-09T19:33:43.492-0300 D STORAGE  [conn2] stored meta data for DB1.COLLECTION1 @ RecordId(8)
2018-10-09T19:33:43.500-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.500-0300 D STORAGE  [conn2] create uri: table:index-14--727222107833765461 config: type=file,internal_page_max=16k,leaf_page_max=16k,checksum=on,prefix_compression=true,block_compressor=,,,,key_format=u,value_format=u,app_metadata=(formatVersion=8,infoObj={ "v" : 2, "key" : { "_id" : 1 }, "name" : "_id_", "ns" : "DB1.COLLECTION1" }),
2018-10-09T19:33:43.505-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.505-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: [ { _id: 0, cmp1: 0, cmp2: 0, data: "aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa" } ] } ninserted:1 keysInserted:1 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 3, w: 3 } }, Database: { acquireCount: { w: 2, W: 1 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_query 13ms
2018-10-09T19:33:43.506-0300 I COMMAND  [conn2] CMD: drop DB1.COLLECTION1
2018-10-09T19:33:43.506-0300 D STORAGE  [conn2] dropCollection: DB1.COLLECTION1
2018-10-09T19:33:43.506-0300 D INDEX    [conn2] 	 dropAllIndexes dropping: { v: 2, key: { _id: 1 }, name: "_id_", ns: "DB1.COLLECTION1" }
2018-10-09T19:33:43.506-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.506-0300 D STORAGE  [conn2] 	 dropIndexes done
2018-10-09T19:33:43.506-0300 D STORAGE  [conn2] deleting metadata for DB1.COLLECTION1 @ RecordId(8)
2018-10-09T19:33:43.506-0300 D STORAGE  [conn2] WT drop of  table:index-14--727222107833765461 res 16
2018-10-09T19:33:43.506-0300 D STORAGE  [conn2] ~WiredTigerRecordStore for: DB1.COLLECTION1
2018-10-09T19:33:43.506-0300 D STORAGE  [conn2] WT drop of  table:collection-13--727222107833765461 res 16
2018-10-09T19:33:43.506-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: drop { drop: "COLLECTION1" } numYields:0 reslen:78 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 0ms
2018-10-09T19:33:43.506-0300 D STORAGE  [conn2] create collection DB1.COLLECTION1 {}
2018-10-09T19:33:43.506-0300 D STORAGE  [conn2] stored meta data for DB1.COLLECTION1 @ RecordId(9)
2018-10-09T19:33:43.514-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.514-0300 D STORAGE  [conn2] create uri: table:index-16--727222107833765461 config: type=file,internal_page_max=16k,leaf_page_max=16k,checksum=on,prefix_compression=true,block_compressor=,,,,key_format=u,value_format=u,app_metadata=(formatVersion=8,infoObj={ "v" : 2, "key" : { "_id" : 1 }, "name" : "_id_", "ns" : "DB1.COLLECTION1" }),
2018-10-09T19:33:43.520-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.520-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: [ { _id: 0, cmp1: 0, cmp2: 0, data: "aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa" } ] } ninserted:1 keysInserted:1 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 3, w: 3 } }, Database: { acquireCount: { w: 2, W: 1 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_query 13ms
2018-10-09T19:33:43.520-0300 I COMMAND  [conn2] CMD: drop DB1.COLLECTION1
2018-10-09T19:33:43.520-0300 D STORAGE  [conn2] dropCollection: DB1.COLLECTION1
2018-10-09T19:33:43.520-0300 D INDEX    [conn2] 	 dropAllIndexes dropping: { v: 2, key: { _id: 1 }, name: "_id_", ns: "DB1.COLLECTION1" }
2018-10-09T19:33:43.520-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.520-0300 D STORAGE  [conn2] 	 dropIndexes done
2018-10-09T19:33:43.520-0300 D STORAGE  [conn2] deleting metadata for DB1.COLLECTION1 @ RecordId(9)
2018-10-09T19:33:43.520-0300 D STORAGE  [conn2] WT drop of  table:index-16--727222107833765461 res 16
2018-10-09T19:33:43.520-0300 D STORAGE  [conn2] ~WiredTigerRecordStore for: DB1.COLLECTION1
2018-10-09T19:33:43.520-0300 D STORAGE  [conn2] WT drop of  table:collection-15--727222107833765461 res 16
2018-10-09T19:33:43.521-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: drop { drop: "COLLECTION1" } numYields:0 reslen:78 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 0ms
2018-10-09T19:33:43.521-0300 D STORAGE  [conn2] create collection DB1.COLLECTION1 {}
2018-10-09T19:33:43.521-0300 D STORAGE  [conn2] stored meta data for DB1.COLLECTION1 @ RecordId(10)
2018-10-09T19:33:43.527-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.527-0300 D STORAGE  [conn2] create uri: table:index-18--727222107833765461 config: type=file,internal_page_max=16k,leaf_page_max=16k,checksum=on,prefix_compression=true,block_compressor=,,,,key_format=u,value_format=u,app_metadata=(formatVersion=8,infoObj={ "v" : 2, "key" : { "_id" : 1 }, "name" : "_id_", "ns" : "DB1.COLLECTION1" }),
2018-10-09T19:33:43.536-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.536-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: insert { insert: "COLLECTION1", ordered: true, documents: [ { _id: 0, cmp1: 0, cmp2: 0, data: "aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa" } ] } ninserted:1 keysInserted:1 numYields:0 reslen:44 locks:{ Global: { acquireCount: { r: 3, w: 3 } }, Database: { acquireCount: { w: 2, W: 1 } }, Collection: { acquireCount: { w: 2 } } } protocol:op_query 15ms
2018-10-09T19:33:43.538-0300 I COMMAND  [conn2] CMD: drop DB1.COLLECTION1
2018-10-09T19:33:43.538-0300 D STORAGE  [conn2] dropCollection: DB1.COLLECTION1
2018-10-09T19:33:43.538-0300 D INDEX    [conn2] 	 dropAllIndexes dropping: { v: 2, key: { _id: 1 }, name: "_id_", ns: "DB1.COLLECTION1" }
2018-10-09T19:33:43.538-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
2018-10-09T19:33:43.538-0300 D STORAGE  [conn2] 	 dropIndexes done
2018-10-09T19:33:43.538-0300 D STORAGE  [conn2] deleting metadata for DB1.COLLECTION1 @ RecordId(10)
2018-10-09T19:33:43.538-0300 D STORAGE  [conn2] WT drop of  table:index-18--727222107833765461 res 16
2018-10-09T19:33:43.538-0300 D STORAGE  [conn2] ~WiredTigerRecordStore for: DB1.COLLECTION1
2018-10-09T19:33:43.538-0300 D STORAGE  [conn2] WT drop of  table:collection-17--727222107833765461 res 16
2018-10-09T19:33:43.538-0300 I COMMAND  [conn2] command DB1.COLLECTION1 command: drop { drop: "COLLECTION1" } numYields:0 reslen:78 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { W: 1 } } } protocol:op_query 0ms
2018-10-09T19:33:43.539-0300 D STORAGE  [conn2] create collection DB1.COLLECTION1 {}
2018-10-09T19:33:43.539-0300 D STORAGE  [conn2] stored meta data for DB1.COLLECTION1 @ RecordId(11)
2018-10-09T19:33:43.548-0300 D STORAGE  [conn2] DB1.COLLECTION1: clearing plan cache - collection info cache reset
